message number,latency (usec),message size,interval (usec),
642,2640,4,100000,
643,2400,4,100000,
644,2147.5,4,100000,
645,2786,4,100000,
646,2571.5,4,100000,
647,2273.5,4,100000,
648,2219.5,4,100000,
649,2657,4,100000,
650,2621,4,100000,
651,2129.5,4,100000,
652,2847,4,100000,
653,2565.5,4,100000,
654,3238.5,4,100000,
655,2982,4,100000,
656,2698,4,100000,
657,2182,4,100000,
658,2145,4,100000,
659,2871,4,100000,
660,2612,4,100000,
661,2354.5,4,100000,
662,24752.5,4,100000,
663,2927.5,4,100000,
664,2477.5,4,100000,
665,2237,4,100000,
666,2096.5,4,100000,
667,2636,4,100000,
668,2352,4,100000,
669,2317,4,100000,
670,2828.5,4,100000,
671,2506.5,4,100000,
672,2282.5,4,100000,
673,1983.5,4,100000,
674,2665,4,100000,
675,2658,4,100000,
676,2153,4,100000,
677,2827,4,100000,
678,2543.5,4,100000,
679,2298,4,100000,
680,2013.5,4,100000,
681,2715.5,4,100000,
682,NULL,4,100000,
683,2228,4,100000,
684,2999.5,4,100000,
685,2937.5,4,100000,
686,2301.5,4,100000,
687,2003,4,100000,
688,2740.5,4,100000,
689,2482.5,4,100000,
690,2389.5,4,100000,
691,2891,4,100000,
692,2593.5,4,100000,
693,2470,4,100000,
694,2519.5,4,100000,
695,2965,4,100000,
696,2467.5,4,100000,
697,2172.5,4,100000,
698,1892,4,100000,
699,2608.5,4,100000,
700,2320,4,100000,
701,2029,4,100000,
702,2720,4,100000,
703,2432.5,4,100000,
704,2146,4,100000,
705,2872.5,4,100000,
706,2587,4,100000,
707,2296.5,4,100000,
708,2061.5,4,100000,
709,2738.5,4,100000,
710,2464,4,100000,
711,2218.5,4,100000,
712,2882,4,100000,
713,2611,4,100000,
714,2442.5,4,100000,
715,2063,4,100000,
716,2735,4,100000,
717,2443,4,100000,
718,2209.5,4,100000,
719,2882,4,100000,
720,2649,4,100000,
721,2314.5,4,100000,
722,2067.5,4,100000,
723,2744.5,4,100000,
724,2517,4,100000,
725,2221,4,100000,
726,2904,4,100000,
727,2658.5,4,100000,
728,2366.5,4,100000,
729,2282,4,100000,
730,2730,4,100000,
731,3393.5,4,100000,
732,2136,4,100000,
733,2805.5,4,100000,
734,2606,4,100000,
735,3311.5,4,100000,
736,2017,4,100000,
737,2950,4,100000,
738,2472.5,4,100000,
739,2207,4,100000,
740,1886.5,4,100000,
741,2607,4,100000,
742,2333,4,100000,
743,2043,4,100000,
744,2763,4,100000,
745,2466.5,4,100000,
746,9604.5,4,100000,
747,1980,4,100000,
748,2806.5,4,100000,
749,2362.5,4,100000,
750,2303.5,4,100000,
751,2840.5,4,100000,
752,2529,4,100000,
753,4420,4,100000,
754,3003,4,100000,
755,2728.5,4,100000,
756,2479,4,100000,
757,3328.5,4,100000,
758,2872.5,4,100000,
759,2632.5,4,100000,
760,2381,4,100000,
761,3074.5,4,100000,
762,2992,4,100000,
763,2555,4,100000,
764,2285.5,4,100000,
765,1983,4,100000,
766,2714.5,4,100000,
767,2417,4,100000,
768,3155,4,100000,
769,2835.5,4,100000,
770,2629.5,4,100000,
771,2322.5,4,100000,
772,2025.5,4,100000,
773,2746,4,100000,
774,2498,4,100000,
775,2215,4,100000,
776,1959.5,4,100000,
777,3604,4,100000,
778,2567,4,100000,
779,2079,4,100000,
780,2820.5,4,100000,
781,2527,4,100000,
782,2254.5,4,100000,
783,2012.5,4,100000,
784,2842,4,100000,
785,2403,4,100000,
786,2342,4,100000,
787,2851,4,100000,
788,2569.5,4,100000,
789,2281.5,4,100000,
790,2073.5,4,100000,
791,2745.5,4,100000,
792,2491,4,100000,
793,2208.5,4,100000,
794,2882.5,4,100000,
795,2634,4,100000,
796,2380,4,100000,
797,2293.5,4,100000,
798,2773,4,100000,
799,3002,4,100000,
800,2219.5,4,100000,
801,2914,4,100000,
802,2667.5,4,100000,
803,2380.5,4,100000,
804,2112,4,100000,
805,2874,4,100000,
806,2562.5,4,100000,
807,2275,4,100000,
808,21973,4,100000,
809,2714.5,4,100000,
810,2465,4,100000,
811,2398,4,100000,
812,1940,4,100000,
813,2635.5,4,100000,
814,2349.5,4,100000,
815,3254.5,4,100000,
816,2768,4,100000,
817,2475.5,4,100000,
818,2194,4,100000,
819,2928,4,100000,
820,2636.5,4,100000,
821,2351.5,4,100000,
822,3092,4,100000,
823,2967.5,4,100000,
824,2557.5,4,100000,
825,2202,4,100000,
826,2913.5,4,100000,
827,2820.5,4,100000,
828,2565.5,4,100000,
829,2073.5,4,100000,
830,2733,4,100000,
831,2484.5,4,100000,
832,2184.5,4,100000,
833,1888.5,4,100000,
834,2591.5,4,100000,
835,2349,4,100000,
836,2050,4,100000,
837,2723,4,100000,
838,2496.5,4,100000,
839,2201.5,4,100000,
840,1904.5,4,100000,
841,2641,4,100000,
842,2480,4,100000,
843,2041.5,4,100000,
844,3739,4,100000,
845,2465.5,4,100000,
846,2192,4,100000,
847,3879.5,4,100000,
848,2629,4,100000,
849,2348,4,100000,
850,3261,4,100000,
851,2794.5,4,100000,
852,2702,4,100000,
853,2205,4,100000,
854,2922.5,4,100000,
855,2625.5,4,100000,
856,2334.5,4,100000,
857,2048.5,4,100000,
858,2775,4,100000,
859,2572,4,100000,
860,2262.5,4,100000,
861,2924,4,100000,
862,2631.5,4,100000,
863,2554.5,4,100000,
864,3077.5,4,100000,
865,2795.5,4,100000,
866,2494,4,100000,
867,2241.5,4,100000,
868,2925,4,100000,
869,2639.5,4,100000,
870,2376.5,4,100000,
871,3095.5,4,100000,
872,2789.5,4,100000,
873,2501.5,4,100000,
874,2255,4,100000,
875,2934.5,4,100000,
876,2696.5,4,100000,
877,3355.5,4,100000,
878,2113,4,100000,
879,2808.5,4,100000,
880,2519.5,4,100000,
881,2241.5,4,100000,
882,1946.5,4,100000,
883,2679.5,4,100000,
884,2386,4,100000,
885,2333.5,4,100000,
886,2838.5,4,100000,
887,2546.5,4,100000,
888,2261,4,100000,
889,1982,4,100000,
890,2684,4,100000,
891,2591.5,4,100000,
892,2093,4,100000,
893,2815,4,100000,
894,2543,4,100000,
895,2250.5,4,100000,
896,2965.5,4,100000,
897,2677,4,100000,
898,2394,4,100000,
899,3107.5,4,100000,
900,2833.5,4,100000,
901,2552,4,100000,
902,2246.5,4,100000,
903,2002.5,4,100000,
904,2682,4,100000,
905,2400.5,4,100000,
906,3107,4,100000,
907,2823,4,100000,
908,2587.5,4,100000,
909,2246,4,100000,
910,2039,4,100000,
911,2727.5,4,100000,
912,2470,4,100000,
913,2105.5,4,100000,
914,2864.5,4,100000,
915,2605.5,4,100000,
916,2303,4,100000,
917,2958.5,4,100000,
918,2830,4,100000,
919,2375.5,4,100000,
920,2267,4,100000,
921,2758.5,4,100000,
922,2506.5,4,100000,
923,2806.5,4,100000,
924,2125,4,100000,
925,2647,4,100000,
926,2362.5,4,100000,
927,2064,4,100000,
928,2774,4,100000,
929,2488.5,4,100000,
930,2204.5,4,100000,
931,2940,4,100000,
932,2628,4,100000,
933,2336.5,4,100000,
934,2052,4,100000,
935,2769,4,100000,
936,2471.5,4,100000,
937,2175.5,4,100000,
938,2931.5,4,100000,
939,2644.5,4,100000,
940,2353,4,100000,
941,3085.5,4,100000,
942,2790.5,4,100000,
943,2488.5,4,100000,
944,19806.5,4,100000,
945,2920.5,4,100000,
946,2626.5,4,100000,
947,2334.5,4,100000,
948,2110,4,100000,
949,2768,4,100000,
950,2464,4,100000,
951,2217,4,100000,
952,2894,4,100000,
953,2628.5,4,100000,
954,2395.5,4,100000,
955,2133.5,4,100000,
956,2985.5,4,100000,
957,3519.5,4,100000,
958,2262.5,4,100000,
959,2155.5,4,100000,
960,2695,4,100000,
961,2422.5,4,100000,
962,2117,4,100000,
963,2842.5,4,100000,
964,2564.5,4,100000,
965,2255.5,4,100000,
966,1962.5,4,100000,
967,2681,4,100000,
968,2395.5,4,100000,
969,2115.5,4,100000,
970,3007,4,100000,
971,2555,4,100000,
972,2257.5,4,100000,
973,1975.5,4,100000,
974,2889.5,4,100000,
975,2401,4,100000,
976,2097.5,4,100000,
977,2822,4,100000,
978,2531,4,100000,
979,2416,4,100000,
980,1995,4,100000,
981,2702.5,4,100000,
982,2553.5,4,100000,
983,2080.5,4,100000,
984,3038,4,100000,
985,2532.5,4,100000,
986,2220,4,100000,
987,23233,4,100000,
988,2854,4,100000,
989,2353.5,4,100000,
990,2111,4,100000,
991,2785,4,100000,
992,2483,4,100000,
993,2202,4,100000,
994,2927.5,4,100000,
995,2645,4,100000,
996,2399,4,100000,
997,2097,4,100000,
998,2765.5,4,100000,
999,2519,4,100000,
1000,3203,4,100000,
1001,3113,4,100000,
1002,2616,4,100000,
1003,2399,4,100000,
1004,2107,4,100000,
1005,2989.5,4,100000,
1006,3482,4,100000,
1007,2448,4,100000,
1008,2913,4,100000,
1009,2666.5,4,100000,
1010,2394.5,4,100000,
1011,2093,4,100000,
1012,2766.5,4,100000,
1013,2519,4,100000,
1014,2246.5,4,100000,
1015,3263.5,4,100000,
1016,2672.5,4,100000,
1017,2373.5,4,100000,
1018,3100,4,100000,
1019,2813.5,4,100000,
1020,2534.5,4,100000,
1021,2262,4,100000,
1022,1951,4,100000,
1023,2672.5,4,100000,
1024,2397,4,100000,
1025,2110.5,4,100000,
1026,2822,4,100000,
1027,2535.5,4,100000,
1028,2445,4,100000,
1029,2950,4,100000,
1030,2667,4,100000,
1031,2422,4,100000,
1032,2358.5,4,100000,
1033,2837,4,100000,
1034,2572.5,4,100000,
